EPW,County,Region,IECC Climate Zone,County Population,Regional Population Weight,GEA Region
CO_ASPEN-PITKIN-CO-SAR_724676_TY3A,"Pitkin County, Colorado",Rocky Mountains,7,"17,767",0.002727181,WestConnect_North
CO_DENVER-IAP_725650_TY3A,"Denver County, Colorado",Rocky Mountains,5,"727,211",0.111624712,WestConnect_North
CO_TRINIDAD-LAS-ANIMAS-CO-AP_724645_TY3A,"Las Animas County, Colorado",Rocky Mountains,4,"14,506",0.002226628,WestConnect_North
ID_BOISE-AIR-TERMINAL_726810_TY3A,"Ada County, Idaho",Rocky Mountains,5,"481,587",0.073922163,NorthernGrid_East
ID_IDAHO-FALLS-FANNING-FIELD_725785_TY3A,"Bonneville County, Idaho",Rocky Mountains,6,"119,062",0.018275661,NorthernGrid_East
MO_KANSAS-CITY-DOWNTOWN-AP_724463_TY3A,"Jackson County, Missouri",Rocky Mountains,4,"703,011",0.107910085,SPP_South
MO_ST-JOSEPH-ROSECRANS-MEM_724490_TY3A,"Buchanan County, Missouri",Rocky Mountains,5,"87,364",0.013410113,SPP_South
MT_BILLINGS-LOGAN-IAP_726770_TY3A,"Yellowstone County, Montana",Rocky Mountains,6,"161,300",0.024759067,NorthernGrid_East
NV_LAS-VEGAS-MCCARRAN-IAP_723860_TY3A,"Clark County, Nevada",Rocky Mountains,3,"2,266,715",0.347933969,NorthernGrid_South
NV_RENO-TAHOE-IAP_724880_TY3A,"Washoe County, Nevada",Rocky Mountains,5,"471,519",0.072376755,NorthernGrid_South
UT_SALT-LAKE-CITY-IAP_725720_TY3A,"Salt Lake County, Utah",Rocky Mountains,5,"1,160,437",0.178123607,NorthernGrid_South
UT_ST-GEORGE_AWOS_724754_TY3A,"Washington County, Tennessee",Rocky Mountains,3,"129,375",0.019858675,SERTP
UT_VERNAL-AP_725705_TY3A,"Uintah County, Utah",Rocky Mountains,6,"35,734",0.005485062,NorthernGrid_South
WY_CHEYENNE-MUNI-AP_725640_TY3A,"Laramie County, Wyoming",Rocky Mountains,6,"99,500",0.015272952,WestConnect_North
WY_JACKSON-HOLE_725776_TY3A,"Teton County, Wyoming",Rocky Mountains,7,"23,464",0.003601654,NorthernGrid_East
AL_BIRMINGHAM-MUNI-AP_722280_TY3A,"Jefferson County, Alabama",Southeast,3,"658,573",0.044087191,SERTP
AL_MOBILE-RGNL-AP_722230_TY3A,"Mobile County, Alabama",Southeast,2,"413,210",0.027661729,SERTP
AR_FAYETTEVILLE-DRAKE-FIELD_723445_TY3A,"Washington County, Arkansas",Southeast,4,"239,187",0.016012018,SPP_South
AR_LITTLE-ROCK-AFB_723405_TY3A,"Pulaski County, Arkansas",Southeast,3,"391,911",0.026235899,MISO_South
DE_WILMINGTON-NEWCASTLE-CO-AP_724089_TY3A,"New Castle County, Delaware",Southeast,4,"558,753",0.037404889,PJM_East
FL_JACKSONVILLE-IAP_722060_TY3A,"Duval County, Florida",Southeast,2,"957,755",0.064115485,FRCC
FL_MIAMI-IAP_722020_TY3A,"Miami-Dade County, Florida",Southeast,1,"2,716,940",0.18188151,FRCC
GA_ATLANTA-HARTSFIELD-IAP_722190_TY3A,"Fulton County, Georgia",Southeast,3,"1,063,937",0.071223681,SERTP
GA_ROME-R-B-RUSSELL-AP_723200_TY3A,"Floyd County, Georgia",Southeast,4,"98,498",0.006593802,SERTP
GA_SAVANNAH-IAP_722070_TY3A,"Chatham County, Georgia",Southeast,2,"289,430",0.019375461,SERTP
KY_LOUISVILLE-BOWMAN-FIELD_724235_TY3A,"Jefferson County, Kentucky",Southeast,4,"766,757",0.051329408,PJM_East
LA_NEW-ORLEANS-IAP_722310_TY3A,"Orleans Parish, Louisiana",Southeast,2,"390,144",0.02611761,MISO_South
LA_SHREVEPORT-DOWNTOWN_722484_TY3A,"Bossier Parish, Louisiana",Southeast,3,"127,039",0.008504437,MISO_South
